TIME,LABEL
64.476666667,Demo tap
65.473333333,Demo tap
66.476666667,Demo tap
81.890000000,Beep 1
82.890000000,Beep 1
83.896666667,Beep 1
84.896000000,Concert Zero
84.896666667,Tap 1
85.898333333,Tap 1
86.898333333,Tap 1
93.171000000,Beep 2
94.008000000,Beep 2
94.839750000,Beep 2
95.674500000,Tap 2
96.506250000,Tap 2
97.340250000,Tap 2
151.509333333,Baseline 1 start
168.085333333,Interuption
175.978666667,Baseline 1 clean start
470.052000000,Baseline 1 end
521.194666667,Artist approach
544.960000000,Artist speaking
569.653333333,New Point
588.000000000,Play note on piano
595.170000000,Song 1 start
827.626666667,Song 1 end
830.826666667,Applause 1 start
837.708000000,Singer speaking
839.520000000,Applause 1 end
857.880000000,Play note on  piano
866.506666667,Song 2 start
1043.580000000,Song 2 end
1046.304000000,Applause 2 start
1056.588000000,Applause 2 end
1077.781000000,Baseline 2 start
1377.781000000,Baseline 2 end